,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Outlier,Latitude,Longitude,Address,City,State,ZipCode
0,1,2015,NonResidential,Hotel,Mayflower Park Hotel,Downtown,1927,1.0,12.0,88434,0,88434,Hotel,Hotel,88434.0,,,,,,65.0,78.9,173.5,6981428.0,2023032.0,3686160.0,1272388.0,0.0,249.43,2.64,, 47.61219025, -122.33799744, 405 Olive Way, Seattle, WA,98101
0,1,2016,NonResidential,Hotel,Mayflower Park Hotel,Downtown,1927,1.0,12.0,88434,0,88434,Hotel,Hotel,88434.0,,,,,,60.0,81.69999695,182.5,7226362.5,2003882.0,3946027.0,1276453.0,0.0,249.98,2.83,,47.6122,-122.33799,405 Olive Way,Seattle,WA,98101
1,2,2015,NonResidential,Hotel,Paramount Hotel,Downtown,1996,1.0,11.0,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,51.0,94.4,191.3,8354235.0,0.0,3905411.0,4448985.0,0.0,263.51,2.38,, 47.61310583, -122.33335756, 724 Pine St, Seattle, WA,98101
1,2,2016,NonResidential,Hotel,Paramount Hotel,Downtown,1996,1.0,11.0,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,61.0,94.80000305,176.1000061,8387933.0,0.0,3242851.0,5145082.0,0.0,295.86,2.86,,47.61317,-122.33393,724 Pine Street,Seattle,WA,98101
2,3,2015,NonResidential,Hotel,Westin Hotel,Downtown,1969,1.0,41.0,961990,0,961990,"Hotel, Parking, Swimming Pool",Hotel,757243.0,Parking,100000.0,Swimming Pool,0.0,,18.0,96.6,242.7,73130656.0,19660404.0,49762435.0,3709900.0,0.0,2061.48,1.92,, 47.61334897, -122.33769944, 1900 5Th Ave, Seattle, WA,98101
2,3,2016,NonResidential,Hotel,5673-The Westin Seattle,Downtown,1969,1.0,41.0,956110,196718,759392,Hotel,Hotel,756493.0,,,,,,43.0,96.0,241.8999939,72587024.0,21566554.0,49526664.0,1493800.0,0.0,2089.28,2.19,,47.61393,-122.3381,1900 5Th Avenue,Seattle,WA,98101
3,5,2015,NonResidential,Hotel,Hotel Max,Downtown,1926,1.0,10.0,61320,0,61320,Hotel,Hotel,61320.0,,,,,,1.0,460.4,636.3,28229320.0,23458518.0,2769023.0,2001894.0,0.0,1936.34,31.38,High Outlier, 47.61421585, -122.33660889, 620 Stewart St, Seattle, WA,98101
3,5,2016,NonResidential,Hotel,Hotel Max,Downtown,1926,1.0,10.0,61320,0,61320,Hotel,Hotel,61320.0,,,,,,56.0,110.8000031,216.1999969,6794584.0,2214446.25,2768924.0,1811213.0,0.0,286.43,4.67,,47.61412,-122.33664,620 Stewart St,Seattle,WA,98101
4,8,2015,NonResidential,Hotel,Warwick Seattle Hotel,Downtown,1980,1.0,18.0,119890,12460,107430,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,67.0,120.1,228.8,14829099.0,0.0,6066245.0,8763105.0,0.0,507.7,4.02,, 47.6137544, -122.3409238, 401 Lenora St, Seattle, WA,98121
4,8,2016,NonResidential,Hotel,Warwick Seattle Hotel (Id8),Downtown,1980,1.0,18.0,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,75.0,114.8000031,211.3999939,14172606.0,0.0,5368607.0,8803998.0,0.0,505.01,2.88,,47.61375,-122.34047,401 Lenora St,Seattle,WA,98121
5,9,2015,Nonresidential COS,Other,West Precinct (Seattle Police),Downtown,1999,1.0,2.0,97288,37198,60090,Police Station,Police Station,88830.0,,,,,,,135.7,313.5,12051984.0,0.0,7271004.0,4781283.0,0.0,304.62,2.81,, 47.6164389, -122.33676431, 810 Virginia St, Seattle, WA,98101
5,9,2016,Nonresidential COS,Other,West Precinct,Downtown,1999,1.0,2.0,97288,37198,60090,Police Station,Police Station,88830.0,,,,,,,136.1000061,316.2999878,12086616.0,0.0,7371434.0,4715182.0,0.0,301.81,3.1,,47.61623,-122.33657,810 Virginia St,Seattle,WA,98101
6,10,2015,NonResidential,Hotel,Camlin Worldmark Hotel,Downtown,1926,1.0,11.0,83008,0,83008,Hotel,Hotel,81352.0,,,,,,25.0,76.9,149.5,6252842.0,0.0,2679698.0,3573255.0,0.0,208.46,2.37,, 47.6141141, -122.33274086, 1619 9Th Ave, Seattle, WA,98101
6,10,2016,NonResidential,Hotel,Camlin,Downtown,1926,1.0,11.0,83008,0,83008,Hotel,Hotel,81352.0,,,,,,27.0,70.80000305,146.6000061,5758795.0,0.0,2811215.0,2947580.0,0.0,176.14,2.12,,47.6139,-122.33283,1619 9Th Avenue,Seattle,WA,98101
7,11,2015,NonResidential,Other,Paramount Theater,Downtown,1926,1.0,8.0,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,,62.5,152.2,6426022.0,2003108.0,4108004.0,315079.0,0.0,199.99,1.77,, 47.61290234, -122.33130949, 901 Pine St, Seattle, WA,98101
7,11,2016,NonResidential,Other,Paramount Theatre,Downtown,1926,1.0,8.0,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,,61.29999924,141.6999969,6298131.5,2276286.5,3636655.0,385189.0,0.0,221.51,2.16,,47.61327,-122.33136,911 Pine St,Seattle,WA,98101
8,12,2015,NonResidential,Hotel,Courtyard By Marriott - Alaska Bldg Seattle,Downtown,1904,1.0,15.0,163984,0,163984,Hotel,Hotel,163984.0,,,,,,46.0,77.0,174.6,12633744.0,0.0,7355649.0,5278400.0,0.0,331.61,1.83,, 47.60258934, -122.33255325, 612 2Nd Ave, Seattle, WA,98104
8,12,2016,NonResidential,Hotel,311Wh-Pioneer Square,Downtown,1904,1.0,15.0,163984,0,163984,Hotel,Hotel,163984.0,,,,,,43.0,83.69999695,180.8999939,13723820.0,0.0,7297919.0,6425900.0,0.0,392.16,2.39,,47.60294,-122.33263,612 2Nd Ave,Seattle,WA,98104
10,15,2015,NonResidential,Hotel,Hotel Monaco,Downtown,1969,1.0,11.0,153163,19279,133884,,,,,,,,,48.0,101.1,200.8,14719853.0,3623542.0,6337531.0,4759044.0,0.0,576.63,3.59,, 47.60712147, -122.33431932, 1101 4Th Ave, Seattle, WA,98101
10,15,2016,NonResidential,Hotel,Hotel Monaco Seattle,Downtown,1969,1.0,11.0,153163,19279,133884,Hotel,Hotel,133884.0,,,,,,30.0,119.5999985,228.1999969,16016644.0,5237165.5,6187627.0,4591850.0,0.0,691.26,4.51,,47.60695,-122.33414,1101 4Th Avenue,Seattle,WA,98101
11,16,2015,NonResidential,Hotel,W Seattle Hotel,Downtown,1998,1.0,25.0,333176,61161,272015,Hotel,Hotel,336640.0,,,,,,32.0,82.3,207.2,27717026.0,5426396.0,19058722.0,3232700.0,0.0,723.4,1.93,, 47.60718204, -122.33347215, 1112 4Th Ave, Seattle, WA,98101
11,16,2016,NonResidential,Hotel,5679-W Seattle,Downtown,1998,1.0,25.0,333176,61161,272015,Hotel,Hotel,336640.0,,,,,,36.0,80.0,199.0,26941110.0,5999360.5,18083049.0,2858700.0,0.0,740.97,2.22,,47.60713,-122.33323,1112 Fourth Avenue,Seattle,WA,98101
12,17,2015,NonResidential,Hotel,Executive Pacific Plaza,Downtown,1928,1.0,9.0,65009,0,65009,Hotel,Hotel,65009.0,,,,,,39.0,104.7,166.5,6807227.0,1987163.0,1615057.0,3205074.0,0.0,334.87,5.04,, 47.60709939, -122.33310536, 400 Spring St, Seattle, WA,98104
12,17,2016,NonResidential,Hotel,Executive Pacific Plaza,Downtown,1928,1.0,9.0,65009,0,65009,Hotel,Hotel,65009.0,,,,,,48.0,101.5,153.6000061,6596057.5,1656352.5,1343000.0,3596705.0,0.0,328.23,5.05,,47.60699,-122.33346,400 Spring Street,Seattle,WA,98104
13,18,2015,NonResidential,Hotel,Crowne Plaza,Downtown,1980,1.0,33.0,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,,56.0,77.2,183.2,22811690.0,4731090.0,14090906.0,3990280.0,0.0,675.34,1.95,, 47.60809326, -122.33211517, 1113 6Th Ave, Seattle, WA,98101
13,18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,Downtown,1980,1.0,33.0,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,,58.0,75.5,179.8999939,22325364.0,4337738.5,13904183.0,4083440.0,0.0,648.62,2.05,,47.60809,-122.33212,1113 6Th Ave,Seattle,WA,98101
14,19,2015,NonResidential,Hotel,Hotel Vintage Park,Downtown,1922,1.0,11.0,67390,0,67390,,,,,,,,,14.0,166.1,317.4,10711451.0,4403788.0,4089407.0,2218425.0,0.0,486.25,6.95,, 47.60761642, -122.3323288, 1100 5Th Ave, Seattle, WA,98101
14,19,2016,NonResidential,Hotel,Hotel Vintage Seattle,Downtown,1922,1.0,11.0,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,,35.0,159.5,297.3999939,10750010.0,4870847.5,3832369.0,2046793.0,0.0,511.39,5.55,,47.60755,-122.33244,1100 5Th Avenue,Seattle,WA,98101
15,21,2015,Nonresidential COS,Other,Seattle Central Library,Downtown,2004,1.0,11.0,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,,46.0,140.8,16849234.0,703184.0,16146718.0,0.0,0.0,166.84,0.24,, 47.60667501, -122.33226425, 1000 4Th Ave, Seattle, WA,98104
15,21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,Downtown,2004,1.0,11.0,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,,50.79999924,155.6000061,18588860.0,737559.5,17851297.0,0.0,0.0,181.38,0.44,,47.60649,-122.33297,1000 Fourth Avenue,Seattle,WA,98154
16,22,2015,NonResidential,Other,Downtown Seattle Ymca,Downtown,1930,1.0,6.0,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,,79.5,173.7,10340282.0,4398022.0,5288219.0,654260.0,0.0,411.09,3.74,, 47.60544586, -122.33280182, 909 4Th Ave, Seattle, WA,98104
16,22,2016,NonResidential,Other,Downtown Seattle Ymca,Downtown,1930,1.0,6.0,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,,76.59999847,157.3999939,9956396.0,4592347.5,4453868.0,910180.0,0.0,433.86,4.18,,47.60546,-122.33279,909 4Th Avenue,Seattle,WA,98104
17,23,2015,NonResidential,Hotel,Renaissance Madison Hotel,Downtown,1983,1.0,28.0,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,,30.0,95.5,231.9,33270518.0,0.0,21932264.0,11339166.0,0.0,755.12,1.59,, 47.60656003, -122.33063632, 515 Madison St, Seattle, WA,98104
17,23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,Downtown,1983,1.0,28.0,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,,31.0,96.30000305,228.5,33556756.0,0.0,21225277.0,12331475.0,0.0,802.89,1.93,,47.60681,-122.33078,515 Madison Street,Seattle,WA,98104
18,24,2015,NonResidential,Mixed Use Property,Rainier Club (Historical Landmark),Downtown,1907,1.0,5.0,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,,130.2,278.7,7481768.0,1755365.0,3773975.0,1952583.0,0.0,265.5,4.34,, 47.60552597, -122.33163032, 810 4Th Ave, Seattle, WA,98104
18,24,2016,NonResidential,Mixed Use Property,The Rainier Club,Downtown,1907,1.0,5.0,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,,132.3999939,280.7000122,7606084.5,1776201.875,3764791.0,2065091.0,0.0,273.02,4.75,,47.60515,-122.33159,820 4Th Ave.,Seattle,WA,98104
19,25,2015,NonResidential,Hotel,Double Tree Arctic Club Hotel - Seattle,Downtown,1916,1.0,10.0,104352,0,104352,,,,,,,,,83.0,75.2,119.5,7845112.0,3205497.0,1790665.0,2849024.0,0.0,411.22,3.87,, 47.60397899, -122.3320576, 700 3Rd Ave, Seattle, WA,98104
19,25,2016,NonResidential,Hotel,Arctic Club Seattle,Downtown,1916,1.0,10.0,104352,0,104352,Hotel,Hotel,104352.0,,,,,,39.0,97.30000305,225.5,10154608.0,3430862.0,5908370.0,815376.0,0.0,349.32,3.35,,47.60376,-122.33194,700 3Rd Ave,Seattle,WA,98104
20,26,2015,NonResidential,Other,King County Courthouse,Downtown,1916,1.0,10.0,540360,0,540360,Courthouse,Courthouse,537150.0,,,,,,67.0,99.3,208.5,53332648.0,0.0,26798906.0,26534856.0,0.0,1596.08,2.74,, 47.60264587, -122.33052826, 516 3Rd Ave, Seattle, WA,98104
20,26,2016,NonResidential,Other,King County Courthouse,Downtown,1916,1.0,10.0,540360,0,540360,Courthouse,Courthouse,537150.0,,,,,,76.0,83.69999695,182.6999969,44984468.0,0.0,24357833.0,20626631.0,0.0,1265.29,2.34,,47.60265,-122.33051,516 3Rd Ave,Seattle,WA,98104
21,27,2015,NonResidential,Other,King County Correctional Facility,Downtown,1985,1.0,19.0,385274,0,385274,Other,Other,385274.0,,,,,,,132.1,245.5,50899248.0,0.0,19677268.0,31222797.0,0.0,1795.42,4.44,, 47.60355377, -122.32830048, 500 5Th Ave, Seattle, WA,98104
21,27,2016,NonResidential,Other,King County Correctional Facility,Downtown,1985,1.0,19.0,385274,0,385274,Other,Other,385274.0,,,,,,,124.1999969,229.5,47859812.0,0.0,18257661.0,29602150.0,0.0,1699.45,4.41,,47.60378,-122.32842,500 5Th Ave,Seattle,WA,98104
22,28,2015,SPS-District K-12,K-12 School,Graham Hill Elementary School (Sps-District),Southeast,1961,1.0,2.0,56228,0,56228,K-12 School,K-12 School,58320.0,,,,,,96.0,25.1,59.2,1454222.0,0.0,911659.0,542600.0,0.0,35.17,0.56,, 47.54570136, -122.2685843, 5101 S Graham St, Seattle, WA,98118
23,29,2015,NonResidential,Hotel,Watertown Hotel,Northeast,2001,1.0,6.0,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,,85.0,66.9,151.5,3880806.0,0.0,2254751.0,1626149.0,0.0,102.08,1.04,, 47.65953281, -122.3173925, 4242 Roosevelt Way Ne, Seattle, WA,98105
23,29,2016,NonResidential,Hotel,Watertown Hotel,Northeast,2001,1.0,6.0,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,,84.0,63.20000076,148.0,3663534.5,0.0,2266231.0,1397303.0,0.0,90.01,1.02,,47.65959,-122.31755,4242 Roosevelt Way Ne,Seattle,WA,98105
24,30,2015,NonResidential,College/University,Cornish (Main Campus Center),Downtown,1928,1.0,7.0,126593,0,126593,College/University,College/University,125000.0,,,,,,,78.3,158.9,9791557.0,0.0,4582663.0,5209084.0,0.0,308.6,2.28,, 47.61839333, -122.3369292, 1000 Lenora St, Seattle, WA,98121
24,30,2016,NonResidential,University,Main Campus Center,Downtown,1928,1.0,7.0,126593,0,126593,College/University,College/University,125000.0,,,,,,,90.69999695,173.0,11343686.0,0.0,4647474.0,6696211.0,0.0,388.04,3.07,,47.61816,-122.33629,1000 Lenora St.,Seattle,WA,98121
25,31,2015,NonResidential,Other,Seattle Honda,Downtown,1930,1.0,2.0,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,,,,,,20.7,64.9,1388717.0,0.0,1388775.0,0.0,0.0,9.68,0.06,, 47.61490582, -122.33040102, 1017 Olive Way, Seattle, WA,98101
25,31,2016,NonResidential,Other,Seattle Honda,Downtown,1930,1.0,2.0,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,,,,,,19.5,61.20000076,1310236.625,0.0,1310236.0,0.0,0.0,9.13,0.14,,47.615,-122.33081,1015 & 1017 Olive Way,Seattle,WA,98101
26,32,2015,NonResidential,Hotel,Homewood Suites -Seattle - Hilton,East,1991,1.0,8.0,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,,44.0,55.7,5159342.0,0.0,532747.0,4626617.0,0.0,249.43,1.56,, 47.61300278, -122.32923126, 1011 Pike St, Seattle, WA,98101
26,32,2016,NonResidential,Hotel,Homewood Suites,East,1991,1.0,8.0,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,,45.5,58.0,5328051.5,0.0,572307.0,4755745.0,0.0,256.57,1.62,,47.61301,-122.32929,1011 Pike St,Seattle,WA,98101
27,33,2015,NonResidential,Hotel,Springhill Suites Seattle Downtown,Downtown,2001,1.0,10.0,171866,38281,133585,Hotel,Hotel,128909.0,,,,,,20.0,85.5,183.3,11026945.0,0.0,5763595.0,5263590.0,0.0,319.73,1.72,, 47.61806905, -122.33005445, 1800 Yale Ave, Seattle, WA,98101
27,33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),Downtown,2001,1.0,10.0,171866,38281,133585,Hotel,Hotel,128909.0,,,,,,57.0,85.80000305,181.1000061,11061916.0,0.0,5610706.0,5451210.0,0.0,328.63,1.91,,47.61784,-122.32966,1800 Yale Ave,Seattle,WA,98101
28,34,2015,SPS-District K-12,K-12 School,Meany Middle School (Sps-District),Central,1955,1.0,1.0,126351,0,126351,K-12 School,K-12 School,126351.0,,,,,,57.0,49.7,84.2,6283226.0,0.0,1933106.0,4350200.0,0.0,244.51,1.87,, 47.62309371, -122.3053887, 300 20Th Ave E, Seattle, WA,98112
29,35,2015,NonResidential,Hotel,Hotel Five,Downtown,1978,1.0,5.0,68410,16200,52210,Hotel,Hotel,47994.0,,,,,,60.0,90.5,194.1,4341706.0,0.0,2276244.0,2065556.0,0.0,125.57,1.69,, 47.61587049, -122.34197968, 2200 5Th Ave, Seattle, WA,98121
29,35,2016,NonResidential,Hotel,Hotel Five,Downtown,1978,1.0,5.0,68410,16200,52210,Hotel,Hotel,47994.0,,,,,,57.0,92.90000153,199.6999969,4456714.5,0.0,2346349.0,2110365.0,0.0,128.44,1.88,,47.61558,-122.34186,2200 5Th Ave,Seattle,WA,98121
30,36,2015,SPS-District K-12,K-12 School,Jane Adams Junior High (Sps-District),North,1949,1.0,2.0,160645,0,160645,K-12 School,K-12 School,164229.0,,,,,,80.0,38.9,62.6,6387710.0,0.0,1709681.0,4678100.0,0.0,260.37,1.58,, 47.71011498, -122.29379175, 11031 34Th Ave Ne, Seattle, WA,98125
31,37,2015,SPS-District K-12,K-12 School,John Hay Elementary School (Sps-District),Magnolia / Queen Anne,1989,1.0,2.0,51582,0,51582,K-12 School,K-12 School,55166.0,,,,,,94.0,26.7,83.8,1472548.0,0.0,1472609.0,0.0,0.0,10.27,0.08,, 47.63303191, -122.35245717, 201 Garfield St, Seattle, WA,98109
32,38,2015,NonResidential,Small- and Mid-Sized Office,House Of Good Shepherd,Lake Union,1906,1.0,3.0,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,,,59.2,104.1,3988729.0,0.0,1353524.0,2635261.0,0.0,149.39,1.65,, 47.66391557, -122.33172174, 4649 Sunnyside Ave N, Seattle, WA,98103
32,38,2016,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,Lake Union,1906,1.0,3.0,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,,,61.5,106.5,4145920.5,0.0,1352843.0,2793077.0,0.0,157.77,1.81,,47.6641,-122.33118,4649 Sunnyside Ave. N.,Seattle,WA,98070
33,40,2015,NonResidential,Hotel,Silver Cloud Inn University,Northeast,1994,1.0,4.0,81871,0,81871,Hotel,Hotel,81871.0,,,,,,20.0,90.6,178.5,7419765.0,0.0,3266270.0,4153630.0,0.0,243.37,2.8,, 47.66585193, -122.29889419, 5036 25Th Ave Ne, Seattle, WA,98105
33,40,2016,NonResidential,Hotel,Silver Cloud University,Northeast,1994,1.0,4.0,81871,0,81871,Hotel,Hotel,81871.0,,,,,,29.0,81.5,162.5,6668568.5,0.0,3016399.0,3652169.0,0.0,215.0,2.63,,47.66583,-122.29965,5036 25Th Ave Ne,Seattle,WA,98105
34,41,2015,NonResidential,"Self-Storage Facility
",Qfc / Shurgard Mini Storage / Liquor Store,Northeast,1955,1.0,2.0,126394,0,126394,Self-Storage Facility,Self-Storage Facility,26225.0,,,,,,77.0,11.7,34.0,306721.0,0.0,272732.0,34000.0,0.0,3.71,0.02,, 47.66270326, -122.29612323, 2746 Ne 45Th St, Seattle, WA,98105
34,41,2016,NonResidential,Self-Storage Facility,08781-University Village,Northeast,1955,1.0,2.0,110356,0,110356,Self-Storage Facility,Self-Storage Facility,26225.0,,,,,,,12.10000038,35.20000076,318364.8125,0.0,281265.0,37100.0,0.0,3.93,0.04,,47.66172,-122.29598,2746 Ne 45Th St Suite 100,Seattle,WA,98105
35,43,2016,Campus,Mixed Use Property,Plant 2 Site,Greater Duwamish,1992,1.0,3.0,494835,0,494835,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,,8.0,221.6999969,388.2000122,448385312.0,0.0,150476283.0,297909000.0,0.0,16870.98,34.09,,47.53493,-122.31788,7755 E Marginal Way S,Seattle,WA,98108
35,46,2015,NonResidential,Distribution Center,Seattle Warehouse Office Building,Greater Duwamish,1961,7.0,2.0,714095,0,714095,,,,,,,,,1.0,66.9,210.0,47843892.0,0.0,47845869.0,0.0,0.0,333.54,0.18,, 47.5106034, -122.29027588, 3301 S Norfolk St, Seattle, WA,98118
36,46,2016,NonResidential,Warehouse,Seattle 11-13,Greater Duwamish,1961,3.0,2.0,714095,0,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,,,46.40000153,145.8999939,44731160.0,0.0,44731153.0,0.0,0.0,311.84,0.44,,47.51138,-122.28875,3301 S Norfolk St,Seattle,WA,98118
36,50,2015,SPS-District K-12,K-12 School,Lawton Elementary School (Sps-District),Magnolia / Queen Anne,1990,1.0,2.0,54986,0,54986,K-12 School,K-12 School,54986.0,,,,,2016,91.0,30.1,80.3,1655612.0,0.0,1281965.0,373700.0,0.0,28.78,0.42,, 47.65726207, -122.39065097, 4017 26Th Ave W, Seattle, WA,98199
37,50,2016,SPS-District K-12,K-12 School,Lawton Elementary,Magnolia / Queen Anne,1990,1.0,2.0,54986,0,54986,K-12 School,K-12 School,54986.0,,,,,2016,97.0,30.0,77.80000305,1650279.25,0.0,1217589.0,432690.0,0.0,31.47,0.57,,47.65671,-122.39047,4000 27Th Ave. W.,Seattle,WA,98199
37,51,2015,SPS-District K-12,K-12 School,Eckstein Middle (Sps-District),Northeast,1950,1.0,2.0,175565,0,175565,K-12 School,K-12 School,182861.0,,,,,,88.0,34.1,53.6,6227419.0,0.0,1561983.0,4665500.0,0.0,258.67,1.44,, 47.68245037, -122.2939354, 3003 Ne 75Th St, Seattle, WA,98115
38,52,2015,NonResidential,Small- and Mid-Sized Office,Salmon Bay Center 5305 & 5309,Ballard,1961,1.0,2.0,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,,57.0,63.7,161.3,6043853.0,0.0,4289697.0,1754334.0,0.0,123.08,1.1,, 47.66580963, -122.3860321, 5305 Shilshole Ave Nw, Seattle, WA,98107
39,52,2016,NonResidential,Small- and Mid-Sized Office,Sbc52,Ballard,1961,1.0,2.0,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,,57.0,65.19999695,163.0,6186461.5,0.0,4291585.0,1894876.0,0.0,130.56,1.38,,47.66587,-122.38476,5305 Shilshole Ave Nw,Seattle,WA,98107
39,53,2015,NonResidential,Small- and Mid-Sized Office,El Centro De La Raza,Greater Duwamish,1900,1.0,2.0,52554,0,52554,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,,,,93.0,36.3,81.6,2137686.0,0.0,1226016.0,911721.0,0.0,56.97,0.98,, 47.58002948, -122.31181286, 2524 16Th Ave S, Seattle, WA,98144
40,53,2016,NonResidential,Small- and Mid-Sized Office,El Centro De La Raza,Greater Duwamish,1900,1.0,2.0,52554,0,52554,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,,,,83.0,50.09999847,108.6999969,2951331.25,0.0,1579749.0,1371582.0,0.0,83.86,1.6,,47.58034,-122.31132,2524 16Th Ave S,Seattle,WA,98144
40,54,2015,NonResidential,K-12 School,Blanchet High School,Northwest,1954,1.0,3.0,175015,0,175015,K-12 School,K-12 School,175015.0,,,,,,95.0,40.5,74.6,7080118.0,0.0,2694187.0,4386042.0,0.0,251.72,1.37,, 47.68894837, -122.33616192, 8200 Wallingford Ave N, Seattle, WA,98103
41,54,2016,NonResidential,K-12 School,Blanchet High School,Northwest,1954,1.0,3.0,175015,0,175015,K-12 School,K-12 School,175015.0,,,,,,95.0,40.0,74.0,6994740.5,0.0,2679739.0,4315001.0,0.0,247.85,1.42,,47.68891,-122.33553,8200 Wallingford Ave. N,Seattle,WA,98103
41,55,2015,NonResidential,"Self-Storage Facility
",Mini Stg (Old Skyway Luggage Co),Downtown,1911,1.0,3.0,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,,,30.5,79.6,2147062.0,0.0,1607511.0,539617.0,0.0,39.87,0.47,, 47.61311034, -122.35096928, 11 Vine St, Seattle, WA,98121
42,55,2016,NonResidential,Self-Storage Facility,Vine Street,Downtown,1911,1.0,3.0,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,,,30.60000038,76.59999847,2158629.0,0.0,1500229.0,658400.0,0.0,45.43,0.64,,47.61351,-122.35129,11 Vine Street,Seattle,WA,98121
42,56,2015,NonResidential,Hotel,Hilton Seattle,Downtown,1969,1.0,24.0,332210,205970,126240,Hotel,Hotel,348630.0,,,,,,68.0,44.9,121.0,15660628.0,0.0,12308680.0,3352459.0,0.0,263.85,0.63,, 47.60950466, -122.3334029, 1301 6Th Ave, Seattle, WA,98101
